V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
54823 1977 1 8 10194 32766 32766 -11 41 -52 25 45 335 0 15 32766 23 40 4 70 3 3 
54823 1977 1 9 10199 32766 32766 -12 26 -46 26 49 323 32700 17 32766 30 63 15 110 15 66 
54823 1977 1 10 10196 32766 32766 -23 31 -78 20 42 320 0 18 32766 20 57 9 154 9 18 
54823 1977 1 11 10216 32766 32766 -51 13 -92 14 36 316 0 36 32766 23 50 3 95 3 80 
54823 1977 1 12 10256 32766 32766 -55 -16 -88 12 29 316 0 13 32766 20 40 15 75 16 84 
54823 1977 1 13 10278 32766 32766 -53 -3 -95 10 25 309 0 12 32766 28 50 6 74 5 82 
54823 1977 1 14 10238 32766 32766 -24 16 -62 11 23 314 0 10 32766 20 30 9 55 6 7 
54823 1977 1 15 10206 32766 32766 -10 34 -41 19 34 324 0 17 32766 23 53 11 95 10 66 
54823 1977 1 16 10228 32766 32766 -15 45 -67 28 50 345 0 14 32766 33 40 4 69 13 73 
54823 1977 1 17 10257 32766 32766 -32 9 -76 25 56 332 0 17 32766 48 70 4 115 4 55 
54823 1977 1 18 10220 32766 32766 -10 34 -54 30 52 343 0 17 32766 28 53 11 107 12 15 
54823 1977 1 19 10221 32766 32766 -16 14 -37 41 75 368 0 15 32766 35 43 4 64 4 0 
54823 1977 1 20 10229 32766 32766 -11 12 -45 45 81 376 31001 7 32766 33 50 3 81 2 0 
54823 1977 1 21 10278 32766 32766 -39 5 -85 21 49 321 0 36 32766 35 70 5 98 5 71 
54823 1977 1 22 10204 32766 32766 -12 21 -46 32 57 353 31002 16 32766 38 63 11 109 10 35 
54823 1977 1 23 10164 32766 32766 16 68 -29 42 62 352 0 17 32766 35 60 11 99 9 68 
54823 1977 1 24 10122 32766 32766 5 19 -14 46 74 361 32700 18 32766 30 57 11 106 10 0 
54823 1977 1 25 10188 32766 32766 -26 -8 -41 36 70 346 4 14 32766 78 117 4 168 4 0 
54823 1977 1 26 10225 32766 32766 -49 -1 -86 19 50 313 31001 16 32766 28 47 1 90 2 86 
54823 1977 1 27 10263 32766 32766 -75 -41 -104 11 31 314 0 17 32766 35 57 4 96 3 64 
54823 1977 1 28 10286 32766 32766 -86 -41 -119 10 35 312 0 15 32766 30 47 4 92 3 85 
54823 1977 1 29 10293 32766 32766 -77 -47 -104 9 28 315 0 14 32766 15 43 4 81 3 50 
54823 1977 1 30 10250 32766 32766 -54 -3 -95 11 29 317 0 13 32766 18 43 14 68 13 53 
54823 1977 1 31 10183 32766 32766 -28 14 -57 11 24 314 0 26 32766 40 77 11 152 10 56 
54823 1977 2 1 10191 32766 32766 -18 31 -74 16 30 323 0 18 32766 23 40 13 71 10 77 
54823 1977 2 2 10229 32766 32766 -29 23 -61 24 51 328 0 36 32766 20 50 5 85 3 79 
54823 1977 2 3 10222 32766 32766 -35 32 -79 18 43 315 0 7 32766 20 43 5 68 1 82 
54823 1977 2 4 10259 32766 32766 -43 -1 -78 10 23 310 0 21 32766 23 47 4 75 1 92 
54823 1977 2 5 10294 32766 32766 -45 6 -90 12 31 311 0 19 32766 23 43 3 74 4 87 
54823 1977 2 6 10293 32766 32766 -23 27 -58 9 18 306 0 17 32766 25 30 5 58 11 62 
54823 1977 2 7 10256 32766 32766 6 48 -25 16 24 313 0 25 32766 33 63 11 109 10 54 
54823 1977 2 8 10222 32766 32766 23 80 -21 20 31 312 0 31 32766 53 80 11 132 10 81 
54823 1977 2 9 10163 32766 32766 43 93 16 25 31 321 0 51 32766 40 70 11 127 10 89 
54823 1977 2 10 10158 32766 32766 60 125 -11 25 28 314 0 52 32766 38 70 12 123 11 91 
54823 1977 2 11 10128 32766 32766 1 84 -65 38 63 347 0 18 32766 15 40 3 66 3 87 
54823 1977 2 12 10140 32766 32766 -16 24 -29 46 85 361 32700 8 32766 65 100 4 153 4 0 
54823 1977 2 13 10230 32766 32766 -36 -1 -58 26 57 336 0 23 32766 68 83 4 124 4 81 
54823 1977 2 14 10255 32766 32766 -38 -8 -60 18 40 326 31001 13 32766 30 73 2 155 1 60 
54823 1977 2 15 10282 32766 32766 -82 -25 -112 8 23 315 0 22 32766 33 70 3 127 2 90 
54823 1977 2 16 10295 32766 32766 -66 -4 -108 10 28 315 0 20 32766 23 47 14 88 15 92 
54823 1977 2 17 10269 32766 32766 -17 46 -65 11 19 316 0 29 32766 33 50 12 92 10 95 
54823 1977 2 18 10213 32766 32766 22 97 -47 15 26 304 0 52 32766 38 110 11 182 10 92 
