V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
56080 1999 1 4 7114 7142 7072 -70 107 -170 16 47 10 0 15 32766 8 63 16 32766 32766 84 
56080 1999 1 5 7130 7164 7099 -83 -27 -135 16 48 28 0 16 32766 13 63 1 32766 32766 74 
56080 1999 1 6 7143 7171 7113 -92 -14 -150 16 54 29 0 13 32766 0 60 16 32766 32766 80 
56080 1999 1 7 7126 7158 7084 -93 12 -161 17 57 24 0 10 32766 0 37 16 32766 32766 84 
56080 1999 1 8 7091 7112 7058 -100 -13 -164 16 60 29 0 11 32766 3 57 16 32766 32766 74 
56080 1999 1 9 7118 7134 7089 -106 -10 -175 15 56 27 0 12 32766 5 57 16 32766 32766 76 
56080 1999 1 10 7157 7175 7128 -115 -61 -131 18 73 44 11 3 32766 10 57 16 32766 32766 68 
56080 1999 1 11 7148 7168 7118 -128 -26 -214 13 60 24 0 12 32766 0 70 9 32766 32766 64 
56080 1999 1 12 7130 7150 7115 -102 11 -199 12 49 9 0 15 32766 13 93 14 32766 32766 91 
56080 1999 1 13 7125 7149 7106 -126 -27 -195 12 53 31 0 12 32766 13 53 16 32766 32766 80 
56080 1999 1 14 7181 7200 7149 -128 -21 -206 12 57 14 32700 10 32766 0 50 1 32766 32766 81 
56080 1999 1 15 7179 7194 7156 -127 15 -222 7 38 5 0 13 32766 0 37 1 32766 32766 90 
56080 1999 1 16 7166 7182 7133 -94 11 -168 10 32 16 0 15 32766 0 80 15 32766 32766 41 
56080 1999 1 17 7147 7184 7094 -96 27 -209 8 30 8 0 17 32766 13 63 16 32766 32766 71 
56080 1999 1 18 7099 7126 7076 -56 19 -123 11 30 13 0 17 32766 0 60 1 32766 32766 61 
56080 1999 1 19 7140 7168 7108 -78 -8 -123 13 39 22 32700 16 32766 8 63 16 32766 32766 79 
56080 1999 1 20 7147 7183 7107 -97 47 -203 10 46 5 0 15 32766 0 43 16 32766 32766 83 
56080 1999 1 21 7122 7145 7100 -76 81 -170 9 26 7 0 24 32766 8 110 14 32766 32766 90 
56080 1999 1 22 7090 7108 7076 -67 65 -155 11 30 16 0 21 32766 5 63 1 32766 32766 90 
56080 1999 1 23 7103 7117 7081 -29 105 -144 13 31 5 0 32 32766 15 90 14 32766 32766 91 
56080 1999 1 24 7154 7172 7110 -40 46 -132 12 29 14 0 26 32766 13 77 16 32766 32766 82 
56080 1999 1 25 7132 7175 7085 -57 81 -155 12 34 7 0 20 32766 0 43 1 32766 32766 90 
56080 1999 1 26 7104 7117 7071 -73 52 -156 12 33 16 0 22 32766 0 70 16 32766 32766 87 
56080 1999 1 27 7132 7153 7089 -71 60 -165 13 41 11 0 19 32766 8 53 16 32766 32766 82 
56080 1999 1 28 7143 7154 7117 -67 51 -153 12 35 14 0 22 32766 13 57 16 32766 32766 91 
56080 1999 1 29 7119 7157 7078 -49 43 -109 17 40 19 0 15 32766 3 53 6 32766 32766 70 
56080 1999 1 30 7088 7120 7044 -43 41 -116 17 38 32 0 22 32766 18 57 16 32766 32766 85 
56080 1999 1 31 7082 7099 7065 -71 -35 -94 26 72 39 3 6 32766 10 50 16 32766 32766 15 
56080 1999 2 1 7137 7170 7100 -75 -4 -124 21 64 29 1 17 32766 13 63 1 32766 32766 65 
56080 1999 2 2 7199 7215 7170 -92 -6 -149 16 58 14 32700 14 32766 0 47 16 32766 32766 74 
56080 1999 2 3 7178 7209 7133 -78 39 -153 14 44 21 0 17 32766 3 70 16 32766 32766 80 
56080 1999 2 4 7149 7183 7104 -52 65 -126 17 40 19 0 19 32766 8 63 16 32766 32766 80 
56080 1999 2 5 7146 7158 7123 -39 59 -130 14 34 9 0 21 32766 0 43 16 32766 32766 81 
56080 1999 2 6 7165 7176 7143 -43 79 -131 14 34 5 0 25 32766 0 40 1 32766 32766 92 
56080 1999 2 7 7164 7182 7140 -47 81 -149 9 25 4 0 28 32766 3 83 13 32766 32766 84 
56080 1999 2 8 7148 7171 7117 -36 123 -154 7 17 4 0 28 32766 5 27 2 32766 32766 97 
56080 1999 2 9 7123 7140 7092 -42 75 -135 15 32 11 0 27 32766 10 73 16 32766 32766 65 
56080 1999 2 10 7171 7190 7132 -23 96 -112 12 30 2 0 34 32766 23 80 14 32766 32766 88 
56080 1999 2 11 7200 7214 7165 -50 73 -145 13 32 15 0 26 32766 0 50 4 32766 32766 94 
56080 1999 2 12 7199 7225 7172 -40 84 -145 15 35 19 0 21 32766 0 50 1 32766 32766 81 
56080 1999 2 13 7165 7196 7114 -30 111 -135 15 35 3 0 29 32766 5 60 16 32766 32766 80 
56080 1999 2 14 7179 7199 7141 -46 24 -117 16 39 27 0 19 32766 5 43 16 32766 32766 74 
56080 1999 2 15 7164 7192 7133 -36 121 -145 17 43 9 0 32 32766 10 80 14 32766 32766 96 
56080 1999 2 16 7132 7162 7086 4 155 -91 17 30 1 0 44 32766 8 87 14 32766 32766 84 
56080 1999 2 17 7138 7171 7107 -23 53 -66 19 38 14 0 29 32766 8 93 1 32766 32766 31 
56080 1999 2 18 7179 7194 7145 -89 41 -175 12 50 0 0 28 32766 20 90 16 32766 32766 95 
56080 1999 2 19 7176 7200 7138 -81 44 -165 12 45 8 0 19 32766 0 50 16 32766 32766 85 
56080 1999 2 20 7156 7177 7119 -67 51 -156 13 42 13 0 23 32766 0 60 16 32766 32766 85 
56080 1999 2 21 7141 7174 7100 -18 114 -126 14 32 8 0 42 32766 10 93 14 32766 32766 98 
56080 1999 2 22 7112 7136 7079 -16 81 -100 16 30 21 0 40 32766 18 90 1 32766 32766 58 
56080 1999 2 23 7116 7140 7077 5 156 -124 13 30 1 0 38 32766 15 70 16 32766 32766 92 
56080 1999 2 24 7104 7129 7075 -5 101 -88 20 33 10 0 38 32766 10 60 4 32766 32766 87 
56080 1999 2 25 7117 7147 7089 -40 22 -86 20 45 27 0 27 32766 10 80 16 32766 32766 25 
56080 1999 2 26 7160 7185 7139 -47 20 -94 21 47 39 0 26 32766 18 70 6 32766 32766 35 
56080 1999 2 27 7184 7204 7161 -57 -26 -83 25 63 46 9 2 32766 0 50 4 32766 32766 0 
56080 1999 2 28 7170 7193 7136 -40 69 -123 16 49 5 0 31 32766 10 60 13 32766 32766 102 
56080 1999 3 1 7127 7145 7095 -38 68 -122 12 32 13 0 21 32766 10 63 1 32766 32766 85 
56080 1999 3 2 7140 7158 7118 -35 77 -129 11 28 5 0 36 32766 10 73 13 32766 32766 99 
56080 1999 3 3 7112 7147 7089 -31 121 -145 11 27 6 0 37 32766 0 70 15 32766 32766 90 
56080 1999 3 4 7075 7096 7048 21 175 -90 11 20 1 0 77 32766 33 107 13 32766 32766 92 
56080 1999 3 5 7072 7097 7026 24 149 -81 18 30 8 0 45 32766 8 83 16 32766 32766 77 
56080 1999 3 6 7090 7108 7067 8 91 -36 28 44 17 32700 33 32766 8 43 16 32766 32766 76 
56080 1999 3 7 7057 7094 7010 40 180 -57 26 41 1 0 58 32766 23 120 15 32766 32766 80 
56080 1999 3 8 7068 7096 7051 -32 61 -54 29 60 38 2 21 32766 18 57 4 32766 32766 0 
56080 1999 3 9 7091 7106 7075 -47 -1 -88 27 64 41 32700 10 32766 8 40 5 32766 32766 11 
56080 1999 3 10 7123 7145 7096 -33 34 -73 29 64 26 1 22 32766 18 50 7 32766 32766 78 
56080 1999 3 11 7085 7124 7060 2 77 -48 29 49 15 0 26 32766 8 47 16 32766 32766 61 
56080 1999 3 12 7072 7085 7046 4 99 -68 32 53 22 0 29 32766 0 80 4 32766 32766 64 
56080 1999 3 13 7099 7112 7072 -26 24 -40 38 76 50 3 13 32766 18 50 6 32766 32766 0 
56080 1999 3 14 7138 7151 7112 -20 41 -61 26 55 16 1 18 32766 15 77 16 32766 32766 68 
56080 1999 3 15 7086 7140 7049 0 137 -113 15 35 1 0 45 32766 13 77 15 32766 32766 81 
56080 1999 3 16 7056 7077 7027 35 133 -65 27 43 5 0 63 32766 38 107 10 32766 32766 66 
56080 1999 3 17 7037 7052 7016 24 111 -40 27 39 19 0 44 32766 20 83 6 32766 32766 56 
56080 1999 3 18 7059 7080 7010 7 114 -30 33 50 29 0 41 32766 20 97 16 32766 32766 62 
56080 1999 3 19 7109 7130 7082 -3 74 -56 31 53 29 32700 34 32766 25 57 16 32766 32766 73 
56080 1999 3 20 7116 7131 7090 0 104 -66 27 48 15 0 41 32766 13 87 3 32766 32766 76 
56080 1999 3 21 7126 7143 7091 -17 56 -62 23 43 32 0 38 32766 23 60 4 32766 32766 81 
56080 1999 3 22 7100 7127 7067 15 110 -53 27 43 21 0 35 32766 0 60 3 32766 32766 63 
56080 1999 3 23 7091 7107 7058 41 159 -55 18 30 0 0 66 32766 18 110 14 32766 32766 90 
56080 1999 3 24 7078 7093 7058 49 139 -21 27 35 15 0 56 32766 10 67 2 32766 32766 65 
56080 1999 3 25 7082 7094 7042 36 137 -40 30 42 6 0 47 32766 15 93 5 32766 32766 58 
56080 1999 3 26 7143 7166 7089 -53 37 -94 32 77 31 59 26 32766 23 67 4 32766 32766 84 
56080 1999 3 27 7149 7164 7124 -40 -8 -64 33 73 53 12 11 32766 15 50 6 32766 32766 9 
56080 1999 3 28 7141 7156 7123 -29 34 -77 35 71 42 5 17 32766 15 63 1 32766 32766 81 
56080 1999 3 29 7136 7152 7119 4 85 -73 28 53 14 0 40 32766 10 93 15 32766 32766 87 
56080 1999 3 30 7095 7130 7048 32 150 -56 38 57 12 32700 46 32766 30 97 11 32766 32766 77 
56080 1999 3 31 7102 7111 7086 43 106 4 58 72 33 19 22 32766 10 47 11 32766 32766 64 
56080 1999 4 1 7153 7174 7106 -20 69 -53 34 64 50 1 21 32766 28 77 16 32766 32766 17 
56080 1999 4 2 7170 7205 7118 -8 83 -55 39 67 40 32700 23 32766 13 57 1 32766 32766 66 
56080 1999 4 3 7177 7186 7148 12 73 -36 28 42 24 32700 40 32766 8 57 5 32766 32766 75 
56080 1999 4 4 7187 7196 7168 22 76 -24 31 44 18 0 38 32766 20 70 9 32766 32766 52 
56080 1999 4 5 7180 7201 7146 20 124 -76 27 48 11 0 46 32766 5 47 6 32766 32766 82 
56080 1999 4 6 7141 7172 7098 48 169 -71 23 38 6 0 61 32766 13 63 2 32766 32766 112 
56080 1999 4 7 7116 7134 7096 48 142 -39 35 44 10 0 60 32766 25 90 1 32766 32766 85 
56080 1999 4 8 7149 7163 7128 59 150 -27 34 44 10 0 58 32766 23 73 16 32766 32766 98 
56080 1999 4 9 7142 7169 7103 65 185 -46 38 46 15 0 60 32766 10 63 4 32766 32766 92 
56080 1999 4 10 7107 7120 7078 75 138 12 43 47 5 0 55 32766 35 80 16 32766 32766 11 
56080 1999 4 11 7126 7139 7101 44 154 -60 26 34 7 0 67 32766 25 77 5 32766 32766 95 
56080 1999 4 12 7137 7166 7104 68 164 -24 36 42 16 0 76 32766 10 77 16 32766 32766 104 
56080 1999 4 13 7147 7160 7118 50 137 -26 35 41 20 0 60 32766 13 73 16 32766 32766 69 
56080 1999 4 14 7153 7171 7120 65 169 -22 43 48 17 0 68 32766 8 67 3 32766 32766 101 
56080 1999 4 15 7148 7167 7113 80 152 27 59 55 38 0 56 32766 13 77 5 32766 32766 33 
56080 1999 4 16 7139 7152 7121 74 145 36 66 67 35 23 41 32766 10 70 16 32766 32766 49 
56080 1999 4 17 7162 7171 7140 49 86 35 58 68 37 0 31 32766 8 53 9 32766 32766 0 
56080 1999 4 18 7157 7172 7132 66 145 -9 40 50 9 32700 63 32766 23 100 13 32766 32766 123 
56080 1999 4 19 7156 7164 7133 21 99 -31 48 69 26 26 17 32766 10 80 16 32766 32766 0 
56080 1999 4 20 7172 7183 7135 54 154 -15 52 64 18 10 54 32766 3 70 12 32766 32766 99 
56080 1999 4 21 7170 7190 7140 87 208 -29 40 49 10 0 74 32766 13 67 14 32766 32766 119 
56080 1999 4 22 7131 7155 7091 87 213 -11 48 47 17 0 69 32766 13 87 6 32766 32766 89 
56080 1999 4 23 7100 7127 7056 130 211 67 72 50 21 32700 82 32766 18 70 6 32766 32766 72 
56080 1999 4 24 7100 7109 7075 121 188 65 86 64 36 22 61 32766 20 73 16 32766 32766 73 
56080 1999 4 25 7168 7205 7110 9 128 -40 56 83 55 17 16 32766 40 70 1 32766 32766 0 
56080 1999 4 26 7215 7230 7189 -19 26 -41 40 76 53 11 21 32766 15 63 6 32766 32766 27 
56080 1999 4 27 7208 7231 7171 17 99 -57 38 59 28 32700 40 32766 15 67 6 32766 32766 95 
56080 1999 4 28 7169 7202 7131 63 152 -20 48 56 16 32700 60 32766 8 77 6 32766 32766 111 
56080 1999 4 29 7165 7185 7130 72 172 -18 37 46 9 0 66 32766 20 83 4 32766 32766 82 
56080 1999 4 30 7162 7180 7132 92 172 9 54 52 19 0 70 32766 10 93 10 32766 32766 98 
56080 1999 5 1 7153 7170 7132 101 184 25 69 59 32 32700 58 32766 10 103 6 32766 32766 74 
56080 1999 5 2 7169 7188 7146 47 123 17 69 80 52 30 10 32766 28 67 16 32766 32766 0 
56080 1999 5 3 7203 7218 7181 49 129 1 55 66 35 4 55 32766 10 67 16 32766 32766 80 
56080 1999 5 4 7203 7220 7186 52 101 20 60 69 44 17 21 32766 0 43 5 32766 32766 16 
56080 1999 5 5 7182 7210 7158 50 112 8 64 76 37 29 18 32766 0 153 14 32766 32766 57 
56080 1999 5 6 7155 7178 7134 70 145 -1 60 66 36 32700 47 32766 13 67 6 32766 32766 79 
56080 1999 5 7 7184 7192 7151 67 129 -1 45 53 14 0 46 32766 8 60 1 32766 32766 72 
56080 1999 5 8 7203 7220 7180 72 155 -21 40 47 14 0 73 32766 18 60 16 32766 32766 108 
56080 1999 5 9 7206 7221 7187 76 148 10 39 41 21 32700 69 32766 20 73 3 32766 32766 115 
56080 1999 5 10 7200 7221 7167 77 166 -24 36 41 12 0 76 32766 20 67 4 32766 32766 107 
56080 1999 5 11 7167 7190 7140 97 192 -5 40 39 14 0 81 32766 10 63 4 32766 32766 114 
56080 1999 5 12 7143 7166 7112 110 212 3 46 42 13 0 97 32766 23 80 4 32766 32766 120 
56080 1999 5 13 7136 7146 7118 105 158 65 60 49 26 8 39 32766 15 70 6 32766 32766 25 
56080 1999 5 14 7148 7157 7130 70 125 31 70 70 34 21 31 32766 8 50 10 32766 32766 54 
56080 1999 5 15 7113 7141 7075 98 195 9 75 66 32 0 61 32766 18 77 5 32766 32766 88 
56080 1999 5 16 7129 7144 7087 88 142 66 85 76 49 190 31 32766 20 63 2 32766 32766 26 
56080 1999 5 17 7160 7172 7139 76 151 21 62 63 22 32700 63 32766 25 90 16 32766 32766 103 
56080 1999 5 18 7194 7204 7173 44 99 4 64 79 51 38 32 32766 18 83 11 32766 32766 57 
56080 1999 5 19 7192 7204 7176 72 134 28 65 68 31 1 44 32766 10 117 15 32766 32766 68 
56080 1999 5 20 7178 7198 7155 89 155 21 63 61 24 0 54 32766 10 110 12 32766 32766 79 
56080 1999 5 21 7143 7163 7121 95 176 11 60 56 14 3 58 32766 33 100 15 32766 32766 114 
56080 1999 5 22 7158 7169 7137 61 106 37 67 73 47 7 28 32766 30 70 6 32766 32766 15 
56080 1999 5 23 7164 7179 7137 51 127 -6 64 75 36 32700 57 32766 18 70 10 32766 32766 51 
56080 1999 5 24 7143 7176 7107 77 152 19 60 61 20 28 59 32766 18 77 11 32766 32766 98 
56080 1999 5 25 7158 7179 7118 44 115 22 55 66 37 32700 32 32766 25 67 16 32766 32766 7 
56080 1999 5 26 7191 7210 7163 83 167 -4 48 50 13 0 83 32766 13 67 5 32766 32766 126 
56080 1999 5 27 7161 7187 7127 111 224 10 62 51 19 32700 91 32766 18 77 5 32766 32766 119 
56080 1999 5 28 7156 7170 7134 130 174 86 63 44 22 0 85 32766 30 60 6 32766 32766 66 
56080 1999 5 29 7158 7171 7141 77 138 51 72 69 34 30 26 32766 23 57 8 32766 32766 0 
56080 1999 5 30 7146 7154 7138 55 72 40 72 80 67 38 7 32766 13 50 16 32766 32766 0 
56080 1999 5 31 7170 7178 7146 71 111 37 69 70 49 32700 42 32766 20 53 16 32766 32766 37 
56080 1999 6 1 7174 7190 7152 95 142 44 66 59 34 32700 52 28 10 63 10 32766 32766 63 
56080 1999 6 2 7155 7166 7138 59 120 16 68 75 37 73 28 21 15 57 16 32766 32766 0 
56080 1999 6 3 7171 7179 7162 77 111 49 80 77 56 5 23 10 5 40 16 32766 32766 0 
56080 1999 6 4 7155 7174 7143 118 188 55 89 68 37 32700 58 20 8 57 5 32766 32766 67 
56080 1999 6 5 7147 7166 7128 119 209 47 97 72 44 1 60 24 13 77 16 32766 32766 85 
